crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
145,https://novel.munpia.com/481115,481115,145,검장,조선용병대,"대체역사, 전쟁·밀리터리",133,133,1,1,58.73%,58.73
146,https://novel.munpia.com/476742,476742,146,데거스,벼락 맞은 무공 천재,"무협, 판타지",131,131,8,8,46.59%,46.59
147,https://novel.munpia.com/481970,481970,147,류도율,파혼한 데릴사위는 무공이 너무 쉽다,"판타지, 무협",131,131,1,1,29.83%,29.83
148,https://novel.munpia.com/476453,476453,148,글고흐,A.I. 하나로 돈이 복사됨,현대판타지,128,128,2,2,42.68%,42.68
149,https://novel.munpia.com/483738,483738,149,필빛,국가권력급 괴물 경찰이 멋있음,현대판타지,128,128,0,0,64.89%,64.89
150,https://novel.munpia.com/485782,485782,150,Tbee,운동을 그냥 잘함,"스포츠, 현대판타지",128,128,2,2,-,
151,https://novel.munpia.com/482600,482600,151,레몬비어,삼국지: 동탁의 손주 사위,"대체역사, 판타지",126,126,0,0,65.12%,65.12
152,https://novel.munpia.com/476075,476075,152,강현우,선협계를 박살내고 귀환했더니 던전이 깝침ㅋㅋ,"현대판타지, 퓨전",124,124,1,1,27.79%,27.79
153,https://novel.munpia.com/484479,484479,153,왕모찌,초월급 네크로맨서의 아포칼립스,"현대판타지, 퓨전",121,121,6,6,73.38%,73.38
154,https://novel.munpia.com/485621,485621,154,들구름,코인의 고점이 보여서 돈이 벌림,"현대판타지, 퓨전",119,119,2,2,-,
155,https://novel.munpia.com/486660,486660,155,오징어금값,초월급 한의사 무림에서 귀환하다,"현대판타지, 무협",114,114,3,3,-,
156,https://novel.munpia.com/477626,477626,156,그냥씀,무한 환생자로 살아가는 법,"현대판타지, 퓨전",108,108,4,4,63.18%,63.18
157,https://novel.munpia.com/476591,476591,157,오천광,복수의 정석,"현대판타지, 퓨전",108,108,5,5,55.71%,55.71
158,https://novel.munpia.com/478432,478432,158,선우선사,야만의 시대를 씹어먹는 K-NAVY,"대체역사, 전쟁·밀리터리",102,102,3,3,20.92%,20.92
159,https://novel.munpia.com/478107,478107,159,Analog감성,이성계 아들이 사업을 잘함,"대체역사, 판타지",101,101,-74,-74,72.11%,72.11
160,https://novel.munpia.com/477222,477222,160,적확,경제천재의 나치독일(진) 정상화,"대체역사, 일반소설",99,99,17,17,29.81%,29.81
161,https://novel.munpia.com/479065,479065,161,낙락장송,삼국지 : 촉한개발5개년계획,"대체역사, 현대판타지",98,98,-62,-62,59.10%,59.1
162,https://novel.munpia.com/486313,486313,162,산천(山川),일반인 비선출이 농구를 너무 잘함,"스포츠, 판타지",98,98,3,3,-,
163,https://novel.munpia.com/483782,483782,163,망신창이,스승을 범하다,"판타지, 무협",97,97,0,0,-,
164,https://novel.munpia.com/477717,477717,164,Abyss사서,무공 천재 마법사 되기,"판타지, 퓨전",96,96,11,11,55.64%,55.64
165,https://novel.munpia.com/483956,483956,165,하요.,엘프와 국제결혼으로 초대박,"현대판타지, 판타지",93,93,2,2,45.47%,45.47
166,https://novel.munpia.com/485530,485530,166,청령(淸鈴),"사직서 던진 날, 압류 버튼이 생겼다",현대판타지,93,93,-11,-11,37.57%,37.57
167,https://novel.munpia.com/484568,484568,167,애너그램™,헌터가 탑에서 세금으로 돈을 복사함,"현대판타지, 판타지",93,93,3,3,-,
168,https://novel.munpia.com/478466,478466,168,기연™,"마교의 천재 무공연구관, 무학관 애송이 생도가 되었다",무협,92,92,-2,-2,50.68%,50.68
169,https://novel.munpia.com/477955,477955,169,달빛먹은곰,몰락한 지방 향리 아들의 슬기로운 고려 망국 극복기,"대체역사, 판타지",90,90,-1,-1,51.68%,51.68
170,https://novel.munpia.com/484012,484012,170,한맹하,시스템 수선전,"무협, 판타지",88,88,-1,-1,-,
171,https://novel.munpia.com/484010,484010,171,뚱그레이,삼국지: 유비의 치트키가 되었다.,"대체역사, 전쟁·밀리터리",84,84,0,0,59.91%,59.91
172,https://novel.munpia.com/476940,476940,172,유빈(維彬),내가 만든 초지능 AI가 돈을 잘 범,"현대판타지, SF",83,83,2,2,8.63%,8.63
173,https://novel.munpia.com/477067,477067,173,청학윤,이혼했더니 돈과 여자가 칙칙폭폭,"현대판타지, 판타지",69,69,5,5,24.19%,24.19
174,https://novel.munpia.com/478637,478637,174,주룡™,인간에서 신까지 : 불사자 일대기,"대체역사, 퓨전",69,69,7,7,56.77%,56.77
175,https://novel.munpia.com/480699,480699,175,악어뿔,은퇴무사(隱退武士),무협,69,69,1,1,33.42%,33.42
176,https://novel.munpia.com/477165,477165,176,나정치,꿈꾸면 노나는 매니저,"현대판타지, 드라마",68,68,4,4,58.26%,58.26
177,https://novel.munpia.com/476401,476401,177,민젤,"기(氣)를 보는 소녀, 이계 수선전","판타지, 현대판타지",66,66,2,2,70.83%,70.83
178,https://novel.munpia.com/476248,476248,178,새둥이,별 줍고 천재 사업가,현대판타지,65,65,-71,-71,38.10%,38.1
179,https://novel.munpia.com/477301,477301,179,털보아조씨,삼국지 : 패왕주유기,"대체역사, 전쟁·밀리터리",65,65,24,24,48.06%,48.06
180,https://novel.munpia.com/476982,476982,180,장무(張武),"전술천재, 특전사 대위가 삼국지를 씹어먹음.","대체역사, 전쟁·밀리터리",65,65,3,3,26.95%,26.95
181,https://novel.munpia.com/486834,486834,181,메인작가,이혼 후 재벌이 되었다,"현대판타지, 판타지",65,65,1,1,-,
182,https://novel.munpia.com/480497,480497,182,몽생미생,"The Dreamer, 이세계 여행자의 수기","현대판타지, 판타지",63,63,3,3,-,
183,https://novel.munpia.com/480672,480672,183,에스투팍,천재 배우는 재능이 너무 많음,"현대판타지, 퓨전",61,61,-92,-92,55.41%,55.41
